country,players,avg_rating,avg_kpr,avg_dpr,avg_hs,avg_opening,avg_age
Thailand,11,1.067,0.702,76.327,44.018,1.017,24.909
Brazil,61,1.063,0.697,75.982,43.498,1.031,25.918
Australia,44,1.058,0.698,76.036,44.62,1.016,25.295
China,28,1.046,0.708,77.154,47.954,1.024,27.536
Bulgaria,23,1.046,0.687,74.987,45.609,1.009,24.565
Russia,67,1.039,0.683,74.673,45.454,1.017,25.09
United States,82,1.036,0.692,75.026,44.143,1.014,25.585
Kazakhstan,16,1.036,0.682,74.712,48.244,1.014,25.0
Canada,25,1.024,0.685,75.116,47.168,0.996,25.76
France,26,1.023,0.68,73.8,47.281,1.016,27.269
Poland,50,1.019,0.681,74.406,44.194,1.004,25.76
Sweden,53,1.018,0.683,74.992,45.745,1.005,26.358
Denmark,73,1.018,0.676,74.015,45.942,1.009,25.37
Finland,26,1.015,0.681,74.623,43.188,1.013,25.885
Ukraine,24,1.015,0.677,74.033,46.45,1.015,27.333
Norway,12,1.012,0.681,73.892,49.142,1.016,26.083
Serbia,10,1.008,0.679,74.01,43.63,0.996,27.6
Germany,25,0.996,0.671,73.876,45.884,0.999,27.44
