player_id,nickname,country,current_team,age,metric,value_real,value_norm
11893,ZywOo,France,Vitality,21,rating,1.32,100.0
7998,s1mple,Ukraine,Natus Vincere,24,rating,1.25,87.27
16920,sh1ro,Russia,Cloud9,21,rating,1.26,89.09
20113,deko,Russia,1WIN,21,rating,1.23,83.64
18835,saffee,Brazil,FURIA,27,rating,1.22,81.82
8950,Kaze,Malaysia,Rare Atom,28,rating,1.19,76.36
17306,degster,Russia,OG,21,rating,1.21,80.0
11271,smooya,United Kingdom,,22,rating,1.2,78.18
12591,sterling,New Zealand,Encore,24,rating,1.2,78.18
7938,XANTARES,Turkey,Eternal Fire,26,rating,1.17,72.73
18227,SENSEi,Ukraine,Iron Branch,23,rating,1.21,80.0
18072,torzsi,Hungary,MOUZ,20,rating,1.18,74.55
7592,device,Denmark,NIP,26,rating,1.16,70.91
16207,DANK1NG,China,TYLOO,22,rating,1.2,78.18
3741,NiKo,Bosnia and Herzegovina,G2,25,rating,1.15,69.09
15165,blameF,Denmark,Astralis,25,rating,1.22,81.82
7131,BnTeT,Indonesia,TYLOO,26,rating,1.15,69.09
9216,coldzera,Brazil,00NATION,27,rating,1.15,69.09
9102,Sico,New Zealand,ORDER,27,rating,1.15,69.09
9172,XigN,Korea,NKT,25,rating,1.14,67.27
15631,KSCERATO,Brazil,FURIA,22,rating,1.18,74.55
8944,Benkai,Singapore,,25,rating,1.14,67.27
11847,Texta,Australia,,21,rating,1.21,80.0
13776,Jame,Russia,Outsiders,23,rating,1.17,72.73
9626,XELLOW,Romania,ECSTATIC,21,rating,1.13,65.45
16847,mhL,Poland,MOUZ NXT,20,rating,1.17,72.73
798,oskar,Czech Republic,Tokyo Revengers,31,rating,1.13,65.45
13281,El1an,Russia,Entropiq,23,rating,1.17,72.73
7167,kennyS,France,G2,27,rating,1.13,65.45
10774,Freeman,Hong Kong,YK,23,rating,1.16,70.91
10981,mantuu,Poland,,24,rating,1.16,70.91
3972,huNter-,Bosnia and Herzegovina,G2,26,rating,1.12,63.64
9960,frozen,Slovakia,MOUZ,20,rating,1.12,63.64
16816,vsm,Brazil,00NATION,23,rating,1.18,74.55
12877,chelleos,New Zealand,,22,rating,1.2,78.18
11141,erkaSt,Mongolia,NKT,27,rating,1.17,72.73
12553,yuurih,Brazil,FURIA,22,rating,1.18,74.55
8574,woxic,Turkey,Eternal Fire,23,rating,1.12,63.64
1088,liTTle,Russia,HellRaisers,33,rating,1.12,63.64
11140,INS,Australia,ORDER,23,rating,1.19,76.36
5736,kNgV-,Brazil,,29,rating,1.12,63.64
11816,ropz,Estonia,FaZe,22,rating,1.15,69.09
14087,Jamppi,Finland,,21,rating,1.15,69.09
9884,wrath,United States,,20,rating,1.12,63.64
8412,dream3r,Bulgaria,SKADE,25,rating,1.11,61.82
13238,PTC,Thailand,,23,rating,1.14,67.27
12733,xsepower,Russia,K23,24,rating,1.15,69.09
15662,zorte,Russia,forZe,24,rating,1.15,69.09
10394,Twistzz,Canada,FaZe,22,rating,1.11,61.82
8943,splashske,Singapore,,23,rating,1.11,61.82
14736,dgt,Uruguay,9z,21,rating,1.15,69.09
2757,GuardiaN,Slovakia,Sampi,31,rating,1.11,61.82
13249,oSee,United States,Liquid,23,rating,1.15,69.09
11283,ottoNd,Finland,HAVU,24,rating,1.15,69.09
9277,FREDDyFROG,Sweden,,29,rating,1.11,61.82
15821,NEOFRAG,Czech Republic,OG,21,rating,1.18,74.55
9136,Brehze,United States,Evil Geniuses,24,rating,1.1,60.0
13254,TenZ,Canada,,21,rating,1.15,69.09
14619,Infinite,United States,ONET4P,24,rating,1.16,70.91
11219,CeRq,Bulgaria,Evil Geniuses,22,rating,1.14,67.27
29,f0rest,Sweden,,34,rating,1.1,60.0
10664,Olivia,Thailand,LZ,24,rating,1.13,65.45
13670,nawwk,Sweden,Apeks,24,rating,1.12,63.64
12126,poizon,Bulgaria,fnatic,23,rating,1.14,67.27
15698,dumau,Brazil,00NATION,18,rating,1.16,70.91
9895,mertz,Denmark,,23,rating,1.1,60.0
20097,h4rn,Bulgaria,Enterprise,22,rating,1.14,67.27
11264,WARDELL,Canada,,24,rating,1.13,65.45
8789,mir,Russia,Entropiq,26,rating,1.1,60.0
5021,swag,United States,,25,rating,1.1,60.0
8565,HEN1,Brazil,,27,rating,1.1,60.0
14505,ekul,Australia,,27,rating,1.14,67.27
16555,Ax1Le,Russia,Cloud9,20,rating,1.16,70.91
18743,nython,Brazil,paiN,24,rating,1.14,67.27
11139,aliStair,Australia,ORDER,24,rating,1.14,67.27
12271,moose,Canada,,24,rating,1.14,67.27
10263,xccurate,Indonesia,NKT,24,rating,1.09,58.18
8370,mixwell,Spain,,26,rating,1.09,58.18
695,allu,Finland,temp,30,rating,1.09,58.18
8918,electroNic,Russia,Natus Vincere,23,rating,1.09,58.18
18221,Spinx,Israel,ENCE,21,rating,1.13,65.45
7266,syrsoN,Germany,BIG,26,rating,1.09,58.18
15090,PwnAlone,United States,EG.PA,31,rating,1.14,67.27
39,GeT_RiGhT,Sweden,,32,rating,1.09,58.18
8783,JUGi,Denmark,,25,rating,1.09,58.18
10722,gas,China,Wings Up,26,rating,1.12,63.64
18141,biguzera,Brazil,paiN,25,rating,1.16,70.91
13980,lollipop21k,Belarus,1WIN,26,rating,1.14,67.27
15007,Cooper,United States,Mythic,28,rating,1.12,63.64
8575,Calyx,Turkey,,24,rating,1.09,58.18
8711,Sonic,South Africa,,23,rating,1.09,58.18
1378,zehN,Finland,HAVU,30,rating,1.09,58.18
9042,ryx,United States,,29,rating,1.09,58.18
12715,BL1TZ,Australia,,29,rating,1.1,60.0
8520,NAF,Canada,Liquid,24,rating,1.09,58.18
8576,ZOREE,Finland,temp,28,rating,1.09,58.18
7390,ScreaM,Belgium,,28,rating,1.09,58.18
16848,hades,Poland,ENCE,22,rating,1.11,61.82
13466,dennyslaw,Bulgaria,SKADE,22,rating,1.12,63.64
8738,EliGE,United States,Liquid,25,rating,1.09,58.18
12713,floppy,United States,Complexity,22,rating,1.15,69.09
7256,nex,Germany,,30,rating,1.09,58.18
16546,cynic,United States,Gaimin Gladiators,22,rating,1.14,67.27
9031,valde,Denmark,OG,27,rating,1.09,58.18
14294,hazr,Australia,Encore,20,rating,1.14,67.27
13679,nukkye,Lithuania,,24,rating,1.12,63.64
14932,faveN,Germany,BIG,22,rating,1.13,65.45
18462,mezii,United Kingdom,fnatic,23,rating,1.14,67.27
8564,fer,Brazil,Imperial,30,rating,1.08,56.36
13300,Farlig,Denmark,Astralis,23,rating,1.1,60.0
17861,JOTA,Brazil,MIBR,24,rating,1.15,69.09
9078,k0nfig,Denmark,Astralis,25,rating,1.08,56.36
7398,dupreeh,Denmark,Vitality,29,rating,1.08,56.36
180,Savage,China,TCG,33,rating,1.08,56.36
8552,Attacker,China,TYLOO,25,rating,1.08,56.36
9115,dexter,Australia,MOUZ,27,rating,1.08,56.36
3543,DJOXiC,Serbia,GamerS1337,29,rating,1.08,56.36
7993,Detrony,South Africa,,31,rating,1.08,56.36
9247,Machinegun,Mongolia,,32,rating,1.08,56.36
9032,Magisk,Denmark,Vitality,24,rating,1.08,56.36
9255,draken,Sweden,Into the Breach,26,rating,1.08,56.36
5799,keev,Germany,,30,rating,1.08,56.36
9219,felps,Brazil,,25,rating,1.08,56.36
11916,sergej,Finland,GORILLAZ,20,rating,1.13,65.45
18736,pz,Australia,VERTEX,22,rating,1.12,63.64
7810,ShahZaM,United States,,28,rating,1.08,56.36
11154,exit,Brazil,MIBR,25,rating,1.12,63.64
7028,Summer,China,TYLOO,25,rating,1.08,56.36
11162,Hatz,Australia,ORDER,24,rating,1.14,67.27
8555,jayzaR,Sweden,,25,rating,1.08,56.36
7356,MICHU,Poland,,25,rating,1.08,56.36
8848,Ryxxo,Denmark,Sashi,25,rating,1.08,56.36
