player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating,has_team,is_brazilian,age_group,rifle_share,sniper_share,smg_share,pistol_share,grenade_share,other_share
18835,saffee,Rafael Costa,27,Brazil,FURIA,"FURIA, paiN",8482,6517,30.9,80.2,3.0,404,10701,1.3,0.79,0.1,0.61,0.08,0.1,5488,1965,1309,892,1.47,1.14,76.1,17.3,5213,3288,1548,524,114,14,2545,4412,264,1209,52,28,1.22,True,True,27-29,0.30004715868898846,0.5201603395425607,0.03112473473237444,0.1425371374675784,0.0061306295684979955,0.0033011082291912286
9216,coldzera,Marcelo David,27,Brazil,00NATION,"SK, FaZe, Luminosity, MIBR",28576,22946,49.4,79.2,2.4,1426,37264,1.25,0.77,0.11,0.62,0.08,0.1,19016,5630,3355,2453,1.37,1.01,74.9,12.5,18248,11854,5167,1623,341,31,17732,3229,2161,5249,205,60,1.15,True,True,27-29,0.6205207166853304,0.11299692049272117,0.07562290033594625,0.18368561030235162,0.007173852183650616,0.0020996640537514
15631,KSCERATO,Kaike Cerato,22,Brazil,FURIA,FURIA,17821,14059,49.4,79.2,5.4,930,24208,1.27,0.74,0.13,0.58,0.08,0.1,11907,3762,2047,1497,1.37,0.99,75.0,11.7,12301,7473,3205,1006,195,28,12854,551,1355,2739,326,101,1.18,True,True,21-23,0.7212838785702261,0.030918579204309522,0.0760338925986196,0.1536950788395713,0.018293025082767523,0.00566747096122552
16816,vsm,Vinicius Moreira,23,Brazil,00NATION,"DETONA, 00NATION",10883,9398,47.0,83.6,3.1,533,14130,1.16,0.77,0.13,0.67,0.09,0.1,7098,1485,1806,1548,1.17,1.12,73.2,17.9,7032,4315,1963,647,164,9,7544,1047,404,1800,99,32,1.18,True,True,21-23,0.6931912156574473,0.09620509050813195,0.03712211706330975,0.16539557107415234,0.00909675640907838,0.0029403657079849306
12553,yuurih,Yuri Santos,22,Brazil,FURIA,FURIA,20149,16995,44.3,84.2,5.0,1022,26677,1.19,0.76,0.15,0.64,0.09,0.11,13336,3154,2580,1877,1.37,1.03,76.4,13.7,13341,8292,3570,1201,251,22,15471,453,744,3219,286,43,1.18,True,True,21-23,0.7678296689662018,0.02248250533525237,0.03692490942478535,0.1597597895677205,0.014194252816516949,0.002134100947937863
5736,kNgV-,Vito Giuseppe,29,Brazil,,"MIBR, INTZ",16548,14142,32.7,78.5,2.1,827,21606,1.17,0.77,0.1,0.65,0.08,0.09,10956,2406,2929,2200,1.33,1.17,74.6,19.4,10650,6792,2989,945,207,23,5082,7983,732,2586,142,48,1.12,False,True,27-29,0.30710659898477155,0.4824147933284989,0.04423495286439449,0.1562726613488035,0.008581097413584723,0.0029006526468455403
15698,dumau,Eduardo Wolkmer,18,Brazil,00NATION,"GODSENT, Yeah",9294,7852,41.6,80.2,4.7,473,12553,1.18,0.74,0.13,0.63,0.08,0.11,6282,1442,1373,1058,1.3,1.07,73.6,15.6,6271,3982,1707,483,101,9,6343,1035,267,1487,140,71,1.16,True,True,<=20,0.6824833225737035,0.11136216914138154,0.028728211749515817,0.1599956961480525,0.015063481816225521,0.007639337206800086
8565,HEN1,Henrique Teles,27,Brazil,,"Immortals, FURIA, Luminosity",20188,16640,28.8,74.8,3.8,1101,28598,1.21,0.71,0.12,0.58,0.08,0.09,13719,3548,3022,1984,1.52,1.08,74.4,14.9,14879,8790,3642,1054,213,20,5239,10163,896,3609,230,98,1.1,False,True,27-29,0.2595106003566475,0.5034178720031702,0.044382801664355064,0.17876956607885872,0.011392906677234001,0.0048543689320388345
18743,nython,Gabriel Lino,24,Brazil,paiN,"RED Canids, Paquetá, paiN",10480,9064,37.6,76.7,2.3,524,13953,1.16,0.75,0.11,0.65,0.09,0.1,7048,1416,1772,1254,1.41,1.15,73.9,17.8,6905,4449,1899,575,117,8,4112,4257,327,1734,60,19,1.14,True,True,24-26,0.39236641221374047,0.4062022900763359,0.03120229007633588,0.16545801526717557,0.0057251908396946565,0.0018129770992366412
18141,biguzera,Rodrigo Bittencourt,25,Brazil,paiN,paiN,12001,10404,51.2,80.6,5.4,622,16530,1.15,0.73,0.15,0.63,0.1,0.11,8019,1597,1689,1506,1.12,1.03,73.2,13.8,8511,5038,2151,676,137,17,9136,338,550,1796,176,52,1.16,True,True,24-26,0.7612698941754854,0.028164319640029998,0.045829514207149404,0.1496541954837097,0.01466544454628781,0.004332972252312307
