player_id,nickname,real_name,age,country,current_team,teams,total_kills,total_deaths,headshot_percentage,damage_per_round,grenade_dmg_per_round,maps_played,rounds_played,kills_per_death,kills_per_round,assists_per_round,deaths_per_round,saved_by_teammate_per_round,saved_teammates_per_round,rounds_with_kills,kill_to_death_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,rating,has_team,is_brazilian,age_group,rifle_share,sniper_share,smg_share,pistol_share,grenade_share,other_share
11893,ZywOo,Mathieu Herbaut,21,France,Vitality,"Vitality, aAa",22622,16458,41.2,88.0,3.6,1020,26803,1.37,0.84,0.12,0.61,0.1,0.12,14196,6164,4152,2592,1.6,1.28,73.1,21.4,12607,8195,4087,1474,369,71,8261,8552,1290,4262,260,49,1.32,True,False,21-23,0.3651754928830342,0.3780390770046857,0.05702413579701176,0.18840067191229776,0.011493236672265936,0.002166033065157811
7998,s1mple,Aleksandr Kostyliev,24,Ukraine,Natus Vincere,Natus Vincere,35512,26413,41.3,86.4,2.4,1571,41491,1.34,0.86,0.1,0.64,0.08,0.11,22559,9099,6014,3734,1.61,1.24,75.2,20.8,18932,13085,6644,2262,504,64,14717,13451,901,6057,199,254,1.25,True,False,24-26,0.41442329353457985,0.37877337238116693,0.025371705339040325,0.17056206352782158,0.005603739580986708,0.007152511826988061
16920,sh1ro,Dmitry Sokolov,21,Russia,Cloud9,"Gambit Youngsters, Gambit",18091,12492,27.8,78.6,3.9,884,23451,1.45,0.77,0.11,0.53,0.08,0.11,11950,5599,2705,1383,1.96,1.15,77.0,16.2,11501,7416,3208,1075,221,30,3791,10580,550,3008,175,70,1.26,True,False,21-23,0.20955171079542315,0.5848211818031065,0.03040185727709911,0.16627052125366204,0.009673318224531534,0.003869327289812614
20113,deko,Denis Zhukov,21,Russia,1WIN,1WIN,8738,6397,36.7,80.4,3.4,404,10913,1.37,0.8,0.1,0.59,0.09,0.11,5785,2341,1261,727,1.73,1.13,76.4,16.7,5128,3598,1549,518,112,8,2664,4348,181,1459,86,40,1.23,True,False,21-23,0.30487525749599453,0.4975967040512703,0.020714122224765392,0.16697184710460058,0.009842069123369192,0.004577706569008927
18835,saffee,Rafael Costa,27,Brazil,FURIA,"FURIA, paiN",8482,6517,30.9,80.2,3.0,404,10701,1.3,0.79,0.1,0.61,0.08,0.1,5488,1965,1309,892,1.47,1.14,76.1,17.3,5213,3288,1548,524,114,14,2545,4412,264,1209,52,28,1.22,True,True,27-29,0.30004715868898846,0.5201603395425607,0.03112473473237444,0.1425371374675784,0.0061306295684979955,0.0033011082291912286
8950,Kaze,Andrew Khong,28,Malaysia,Rare Atom,"ViCi, Flash, MVP.karnal",17675,13384,30.3,80.1,2.9,864,22588,1.32,0.78,0.11,0.59,0.08,0.1,11485,4291,2688,1586,1.69,1.14,76.5,17.0,11103,6900,3249,1094,216,26,4893,9053,577,2834,172,203,1.19,True,False,27-29,0.27683168316831686,0.5121923620933522,0.03264497878359265,0.16033946251768033,0.009731258840169732,0.011485148514851485
17306,degster,Abdul Gasanov,21,Russia,OG,"Espada, Spirit",14351,10988,34.7,79.3,2.9,686,18284,1.31,0.78,0.09,0.6,0.07,0.1,9383,3363,2480,1469,1.69,1.21,73.9,19.2,8901,5669,2677,841,175,21,4118,7544,253,2266,181,49,1.21,True,False,21-23,0.2869486446937496,0.5256776531252177,0.017629433488955473,0.1578984042923838,0.012612361507908856,0.003414396209323392
11271,smooya,Owen Butterfield,22,United Kingdom,,"BIG, Movistar Riders, Epsilon",18466,14617,27.8,79.3,2.5,888,23515,1.26,0.79,0.1,0.62,0.08,0.1,11971,3849,3187,2183,1.46,1.19,76.1,19.8,11544,7188,3367,1141,254,21,4786,9692,584,3283,141,31,1.2,False,False,21-23,0.25917903173399764,0.5248564930141882,0.03162569045813928,0.17778620166793024,0.007635654716776779,0.0016787609660998592
12591,sterling,Euan Moore,24,New Zealand,Encore,"AVANT, Looking For Org, Dire Wolves",17063,13103,31.6,78.1,4.0,861,22023,1.3,0.77,0.1,0.59,0.08,0.11,11405,3960,2599,1390,1.87,1.15,77.7,17.0,10618,7146,3098,945,194,22,5037,8539,437,2848,198,41,1.2,True,False,24-26,0.2952001406552189,0.5004395475590458,0.025610971107073787,0.16691085975502548,0.011604055558811463,0.0024028599894508587
7938,XANTARES,Ismailcan Dörtkardeş,26,Turkey,Eternal Fire,"Eternal Fire, Space Soldiers, BIG",37879,31623,53.3,89.1,4.6,1772,46706,1.2,0.81,0.15,0.68,0.1,0.1,24117,6256,6449,5003,1.29,1.18,74.8,19.4,22589,14081,6997,2414,564,61,30174,355,857,6127,394,50,1.17,True,False,24-26,0.7965891391008211,0.009371947517093904,0.02262467330182951,0.16175189418939254,0.010401541751366192,0.0013199926080413949
