current_team,players,avg_rating,avg_kpr,avg_dpr,avg_hs,avg_opening,avg_kd
ORDER,5,1.138,0.732,79.3,41.96,1.082,1.176
Outsiders,5,1.122,0.72,77.66,47.38,1.058,1.134
1WIN,5,1.116,0.734,79.24,50.04,1.046,1.122
TYLOO,6,1.107,0.738,78.95,47.283,1.04,1.14
OG,7,1.106,0.727,79.229,48.371,1.04,1.117
Cloud9,5,1.104,0.692,75.28,44.82,1.026,1.134
NKT,5,1.1,0.742,79.12,47.08,1.042,1.126
Vitality,5,1.1,0.726,78.38,49.04,1.076,1.122
00NATION,6,1.097,0.722,77.85,50.433,1.045,1.095
fnatic,6,1.095,0.72,77.7,43.05,1.055,1.102
Complexity,7,1.089,0.706,75.729,45.471,1.03,1.079
SKADE,5,1.086,0.714,76.54,42.98,1.024,1.106
forZe,5,1.084,0.69,74.48,46.46,1.032,1.08
Eternal Fire,5,1.084,0.728,79.1,47.26,1.096,1.098
Astralis,5,1.08,0.71,77.58,43.32,1.056,1.114
MIBR,5,1.078,0.7,77.64,50.12,1.014,1.086
ECSTATIC,5,1.076,0.7,75.16,45.52,1.046,1.064
TeamOne,6,1.075,0.697,75.717,46.267,1.013,1.043
paiN,5,1.072,0.704,76.34,47.12,1.04,1.082
G2,5,1.068,0.728,78.74,45.68,1.078,1.106
Natus Vincere,7,1.067,0.696,76.343,48.571,1.027,1.074
Heroic,7,1.064,0.696,75.1,47.686,1.02,1.059
Entropiq,6,1.062,0.693,76.55,43.85,1.028,1.057
FaZe,6,1.06,0.702,74.983,49.617,1.007,1.093
MOUZ,8,1.056,0.699,76.113,45.65,1.022,1.076
Imperial,5,1.054,0.7,77.68,42.66,1.042,1.088
Gaimin Gladiators,5,1.054,0.702,76.62,46.28,0.986,1.026
ENCE,6,1.05,0.697,75.883,47.317,1.023,1.052
Finest,5,1.046,0.7,76.2,45.44,1.048,1.054
NIP,7,1.046,0.691,76.186,43.114,1.037,1.05
Liquid,7,1.04,0.697,75.971,41.571,1.021,1.069
HAVU,8,1.039,0.692,75.612,42.138,1.034,1.05
Tokyo Revengers,5,1.038,0.7,75.64,45.24,1.056,1.044
Apeks,6,1.018,0.685,73.017,44.967,1.013,1.033
BIG,6,1.012,0.677,74.617,48.467,1.012,1.022
temp,5,1.002,0.672,72.76,37.82,1.006,1.014
Tricked,6,0.997,0.657,71.333,49.45,1.005,0.968
Savage,5,0.974,0.642,71.9,55.44,0.938,0.956
UNGENTIUM,5,0.974,0.658,73.78,47.02,0.96,0.972
